Date, Realm, RealmType, NodeName, SessionID, User, SourcePage, SourceArea, DestPage, DestArea, Type, Status, AppMetricName, AppMetric, AppDimension1, AppDimension2, AppInfo, Referer, AcceptLanguages, UserAgent, TestShortId, TestId, TestLine, AQL Queries,AQL QueriesMillis,Working Set,AQL Rows Fetched,AQL Rows FetchedMillis,ClusterRoot Reconstitutions,ClusterRoot ReconstitutionsMillis,Commits,CommitsMillis,ObjectCopies,SQL Updates,SQL UpdatesMillis,SQL Queries,SQL QueriesMillis,UpdateAttrsBlob,SQL Commits,SQL CommitsMillis,Connection Permit,Connection PermitMillis,JDBC Connection,JDBC ConnectionMillis,Response Size,Page Generation,Element Id Instantiations,visibilityExprEval,visibilityExprEvalMillis,editabilityExprEval,editabilityExprEvalMillis,validityExprEval,validityExprEvalMillis,Thread CPU TimeMillis,RuntimeMillis,
Sun Sep 05 22:25:59 PDT 2010,s4All,Production,Node1,31B1A6C00DF1F2F95B6AE40FF1780BF9:10.12.105.84,cnoll,"ariba.ui.sso.SSOActions","login",ariba/ui/aribaweb/core/AWRedirect,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/ad/loginPage/SSOActions?awsso_cc=cmVhbG06Y3pSaGJHdz07YXdzc29fcnU6YUhSMGNEb3ZMMjF5WldSa2VUbzRNVFV3TDFOdmRYSmphVzVuTDAxaGFXNC9jbVZoYkcwOWN6UmhiR3c9O2F3c3NvX2x1OmFIUjBjRG92TDIxeVpXUmtlVG80TVRVd0wxTnZkWEpqYVc1bkwwMWhhVzR2WVdRdlkyeHBaVzUwVEc5bmIzVjBMMU5UVDBGamRHbHZibk09O2F3c3NvX2FwOlFVTk47YXdzc29fYXJpZDpNVEk0TXpjMU1EY3dPVEl5TVE9PTthd3Nzb19rdTphSFIwY0RvdkwyMXlaV1JrZVRvNE1UVXdMMU52ZFhKamFXNW5MMDFoYVc0dllXUXZZMnhwWlc1MFMyVmxjRUZzYVhabEwxTlRUMEZqZEdsdmJuTT07YXdzc29fZmw6TVE9PQ%3D%3D%3AuJXeUUrXfKYg97Ra6FVSryj1rjE%3D&awsso_ap=ACM&awsso_hpk=true&realm=s4all&awsr=true","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,17,1704,93,209,0,75,1575,6,281,77,4,154,83,4045,,4,17,60,0,60,4,209,209,2,,,,,,,4550,11440,
Sun Sep 05 22:25:59 PDT 2010,s4All,Production,Node1,31B1A6C00DF1F2F95B6AE40FF1780BF9:10.12.105.84,cnoll,"ariba.ui.sso.SSOActions","loginRedirect",,,,Success,,,,,,"http://mreddy:8150/Sourcing/Main/ad/loginPage/SSOActions?awsso_cc=cmVhbG06Y3pSaGJHdz07YXdzc29fcnU6YUhSMGNEb3ZMMjF5WldSa2VUbzRNVFV3TDFOdmRYSmphVzVuTDAxaGFXNC9jbVZoYkcwOWN6UmhiR3c9O2F3c3NvX2x1OmFIUjBjRG92TDIxeVpXUmtlVG80TVRVd0wxTnZkWEpqYVc1bkwwMWhhVzR2WVdRdlkyeHBaVzUwVEc5bmIzVjBMMU5UVDBGamRHbHZibk09O2F3c3NvX2FwOlFVTk47YXdzc29fYXJpZDpNVEk0TXpjMU1EY3dPVEl5TVE9PTthd3Nzb19rdTphSFIwY0RvdkwyMXlaV1JrZVRvNE1UVXdMMU52ZFhKamFXNW5MMDFoYVc0dllXUXZZMnhwWlc1MFMyVmxjRUZzYVhabEwxTlRUMEZqZEdsdmJuTT07YXdzc29fZmw6TVE9PQ%3D%3D%3AuJXeUUrXfKYg97Ra6FVSryj1rjE%3D&awsso_ap=ACM&awsso_hpk=true&realm=s4all&awsr=true","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,,,2,,,,,,,,,,,,,,,,,,,2514,2434,,,,,,,,0,3,
Sun Sep 05 22:26:00 PDT 2010,s4All,Production,Node1,:,,"ariba.collaborate.appui.DirectAction","default",ariba/ui/aribaweb/core/AWRedirect,,User,Success,,,,,,,,,,,,6,277,89,29,0,,,3,11,77,1,3,17,60,,1,7,19,0,19,1,145,145,,,,,,,,90,406,
Sun Sep 05 22:26:05 PDT 2010,,,Node1,:,,"ariba.portlet.component.PortletProviderActions","stringFile",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832,1780,,,,,,,,150,443,
Sun Sep 05 22:26:08 PDT 2010,,,Node1,:,,"ariba.portlet.component.PortletProviderActions","stringFile",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,427,,,,,,,,0,10,
Sun Sep 05 22:26:08 PDT 2010,,,Node1,:,,"ariba.portlet.component.PortletProviderActions","stringFile",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047,1015,,,,,,,,0,5,
Sun Sep 05 22:26:08 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824,0,,,,,,,,0,0,
Sun Sep 05 22:26:08 PDT 2010,s4All,Production,Node1,205EF3F64E76CC1C4C8D565A43CA327E:10.12.105.84,cnoll,"ariba/dashboard/component/DashboardMain","refresh",ariba/dashboard/component/DashboardMain,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/ad/loginRedirect/SSOActions?awr=2&realm=s4All&u=8eVUu703","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,10,82,49,234,0,8,37,1,28,8,20,13,22,99,,1,5,24,1,24,1,95307,95100,504,,,,,,,1830,8535,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33989,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93299,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94130,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,0,,,,,,,,10,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,0,,,,,,,,0,2,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,0,,,,,,,,0,2,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,,,,,,,,0,3,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,0,,,,,,,,0,35,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,0,,,,,,,,0,15,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,0,,,,,,,,0,15,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0,,,,,,,,0,16,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,0,,,,,,,,0,16,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,,,,,,,,0,16,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,0,,,,,,,,0,3,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9093,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,0,,,,,,,,0,1,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,0,,,,,,,,0,0,
Sun Sep 05 22:26:09 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,0,,,,,,,,0,0,
Sun Sep 05 22:26:14 PDT 2010,s4All,Production,Node1,205EF3F64E76CC1C4C8D565A43CA327E:10.12.105.84,cnoll,"ariba/dashboard/component/DashboardMain","poll",ariba/dashboard/component/DashboardMain,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/aw?awh=r&awssk=z5EKxD9s&realm=s4All&dard=1","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,,,2,,,,,,,,,,,,,,,,,,,24,24,,,,,,,,0,2,
Sun Sep 05 22:26:15 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,0,,,,,,,,0,0,
Sun Sep 05 22:26:15 PDT 2010,s4All,Production,Node1,205EF3F64E76CC1C4C8D565A43CA327E:10.12.105.84,cnoll,,,ariba/dashboard/component/DashboardMain,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/aw?awh=r&awssk=z5EKxD9s&realm=s4All&dard=1","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,3,6,40,6,0,,,1,4,,1,1,3,1,,1,2,4,0,4,0,97624,104759,51,,,,,,,140,309,
Sun Sep 05 22:26:20 PDT 2010,s4All,Production,Node1,205EF3F64E76CC1C4C8D565A43CA327E:10.12.105.84,cnoll,"ariba/dashboard/component/DashboardMain",,ariba/ui/aribaweb/core/AWUrlRedirect,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/aw?awh=r&awssk=z5EKxD9s&realm=s4All&dard=1","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,,,7,,,,,,,,,,,,,,,,,,,571,571,,,,,,,,10,46,
Sun Sep 05 22:26:20 PDT 2010,s4All,Production,Node1,205EF3F64E76CC1C4C8D565A43CA327E:10.12.105.84,cnoll,"ariba.ui.sso.SSOActions","logout",ariba/ui/sso/AWSSOLogoutPage,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/aw?awh=r&awssk=z5EKxD9s&realm=s4All&dard=1","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,,,4,,,,,2,15,1,1,3,,,,1,9,1,0,1,0,2157,2147,1,,,,,,,20,65,
Sun Sep 05 22:26:20 PDT 2010,s4All,Production,Node1,205EF3F64E76CC1C4C8D565A43CA327E:10.12.105.84,cnoll,"ariba.ui.sso.SSOActions","clientLogout",ariba/ui/aribaweb/core/AWFormRedirect,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/ad/logout/SSOActions?awsso_su=aHR0cDovL21yZWRkeTo4MTUwL1NvdXJjaW5nL01haW4%2FcmVhbG09czRBbGwmcGFzc3dvcmRhZGFwdGVyPVBhc3N3b3JkQWRhcHRlcjE%3D%3AwJN0eNMfrTV2jU4QueGlyaZbh4k%3D&awsso_lu=aHR0cDovL21yZWRkeTo4MTUwL1NvdXJjaW5nL01haW4vYWQvY2xpZW50TG9nb3V0L1NTT0FjdGlvbnM%3D%3AAU2EFOuVIddKVA6YdHsnWFjYRqw%3D","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,,,2,,,,,,,,,,,,,,,,,,,620,612,,,,,,,,0,2,
Sun Sep 05 22:26:20 PDT 2010,,,Node1,:,,"ariba.ui.sso.SSOActions","logoutAck",ariba/ui/sso/AWMulticastAckPage,,User,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,79,,,,,,,,0,15,
Sun Sep 05 22:26:20 PDT 2010,System,Production,Node1,AEF093D6189F07AB48C4C04CF1BF57A1:10.12.105.84,,"ariba.collaborate.appui.DirectAction","default",ariba/ui/aribaweb/core/AWRedirect,,User,Success,,,,,,"http://mreddy:8150/Sourcing/Main/ad/logout/SSOActions?awsso_su=aHR0cDovL21yZWRkeTo4MTUwL1NvdXJjaW5nL01haW4%2FcmVhbG09czRBbGwmcGFzc3dvcmRhZGFwdGVyPVBhc3N3b3JkQWRhcHRlcjE%3D%3AwJN0eNMfrTV2jU4QueGlyaZbh4k%3D&awsso_lu=aHR0cDovL21yZWRkeTo4MTUwL1NvdXJjaW5nL01haW4vYWQvY2xpZW50TG9nb3V0L1NTT0FjdGlvbnM%3D%3AAU2EFOuVIddKVA6YdHsnWFjYRqw%3D","en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,,,6,,,,,,,6,,,,,,,,,,,,1503,1503,,,,,,,,10,22,
